iter	Logloss
0	0.6867996521
1	0.6804366939
2	0.6730552997
3	0.6677529779
4	0.6617237567
5	0.6551385411
6	0.6493394356
7	0.6424815299
8	0.6373811813
9	0.6312463297
10	0.6252375088
11	0.6193929893
12	0.6127014028
13	0.6081890145
14	0.6033458529
15	0.5980095383
16	0.5927606714
17	0.5876205511
18	0.5825441862
19	0.5787479816
20	0.5739841251
21	0.5698738496
22	0.565323254
23	0.5630119048
24	0.558674588
25	0.5539871979
26	0.5506135356
27	0.5475893179
28	0.5447398151
29	0.5409279695
30	0.5370234931
31	0.5336238704
32	0.5300797936
33	0.5260700535
34	0.5233781416
35	0.5198188797
36	0.5158946524
37	0.5130106386
38	0.5097216206
39	0.5070582303
40	0.5041693688
41	0.5011577547
42	0.4980651407
43	0.4945518087
44	0.4921807845
45	0.4887866434
46	0.4856780765
47	0.4830790808
48	0.4807135305
49	0.4780881577
50	0.4764146952
51	0.4739773092
52	0.4717557254
53	0.4696344179
54	0.4672844779
55	0.4650822703
56	0.4628210769
57	0.460334785
58	0.4580036271
59	0.4557005247
60	0.4533852678
61	0.4511592822
62	0.4483726249
63	0.4461954582
64	0.4440024557
65	0.4418714907
66	0.4402030471
67	0.4384488828
68	0.4362644965
69	0.4341726813
70	0.4322304263
71	0.4303116284
72	0.427893757
73	0.425702835
74	0.4237644555
75	0.4219112252
76	0.4200443171
77	0.4182877798
78	0.417038423
79	0.4151786221
80	0.4131572717
81	0.4114290602
82	0.41001584
83	0.4084983255
84	0.4068063339
85	0.4049781414
86	0.4038485966
87	0.4025092428
88	0.4008683537
89	0.3996588812
90	0.3984309094
91	0.3971674821
92	0.3961547644
93	0.3951012711
94	0.3939159048
95	0.392519367
96	0.3914159216
97	0.389997629
98	0.3885164141
99	0.3870393409
100	0.3853943538
101	0.383985922
102	0.382356454
103	0.3809611882
104	0.3795726971
105	0.3781564093
106	0.3769995796
107	0.3757070285
108	0.3742071389
109	0.3723019228
110	0.3712397752
111	0.3700814121
112	0.3689184843
113	0.3678975318
114	0.3671329588
115	0.3660486665
116	0.3648131437
117	0.3638444612
118	0.362336629
119	0.3616142863
120	0.3606055987
121	0.3594041077
122	0.3585626985
123	0.3573025986
124	0.3560472597
125	0.3546956125
